CID	Activity	MolecularWeight	HeavyAtomCount	RotatableBondCount	Complexity	XLogP	TPSA	HBondDonorCount	HBondAcceptorCount
11741840	Active	402.500000	30	4	625.0	5.5	38.0	1	3
11741891	Active	403.400000	29	5	630.0	5.6	40.5	1	6
11743259	Active	427.400000	30	6	573.0	5.4	41.9	1	8
11747706	Active	272.400000	20	0	528.0	1.8	37.3	1	2
11750204	Active	410.400000	29	6	559.0	4.8	58.1	2	7
11752131	Active	487.500000	36	2	891.0	5.3	69.2	2	7
11752649	Active	515.500000	36	3	893.0	5.7	99.2	3	9
11757239	Active	548.700000	40	9	1130.0	2.2	124.0	4	7
11771756	Active	326.400000	24	2	502.0	3.9	38.0	1	3
11774868	Active	434.400000	31	6	676.0	5.6	69.0	2	7
12085089	Active	417.400000	29	5	650.0	4.7	73.0	1	7
13278723	Active	432.600000	31	3	893.0	4.2	62.6	1	3
15298636	Active	541.700000	37	4	1070.0	4.900	141.0	2	8
15463551	Active	468.400000	33	7	745.0	5.2	80.2	2	10
15984936	Active	498.900000	34	5	849.0	5.3	88.0	2	9
16049465	Active	467.600000	33	7	738.0	4.8	97.3	2	7
16099227	Active	419.500000	29	6	569.0	4.4	49.8	1	8
16099231	Active	407.400000	28	6	506.0	4.3	41.9	1	8
16099232	Active	415.400000	29	6	664.0	4.6	49.8	1	8
16099234	Active	425.500000	30	6	570.0	6.0	32.7	1	7
16099236	Active	405.400000	29	5	633.0	4.8	60.8	2	7
16099237	Active	419.400000	30	5	663.0	5.2	60.8	2	7
16099238	Active	431.400000	31	5	707.0	5.2	49.8	1	7
16099240	Active	423.400000	30	5	665.0	4.9	60.8	2	8
16099245	Active	407.400000	28	6	506.0	4.3	41.9	1	8
16099246	Active	388.400000	27	6	503.0	4.3	47.3	1	7
16099247	Active	439.400000	31	6	641.0	5.1	49.8	1	8
16099248	Active	410.400000	29	6	559.0	4.9	47.3	1	7
16099249	Active	389.400000	28	5	595.0	5.2	40.5	1	6
16099250	Active	421.400000	30	5	662.0	5.7	40.5	1	7
16099251	Active	433.500000	31	6	678.0	5.5	49.8	1	7
16099252	Active	423.400000	30	5	665.0	4.9	60.8	2	8
16099253	Active	409.400000	29	5	691.0	4.5	49.8	1	7
16099254	Active	399.400000	28	5	646.0	5.0	40.5	1	7
16220168	Active	363.400000	26	2	582.0	2.6	107.0	1	6
16661702	Active	393.800000	27	4	546.0	5.0	30.3	0	6
16665286	Active	462.600000	33	7	721.0	5.8	84.4	2	5
16665289	Active	450.600000	32	7	698.0	3.7	110.0	2	7
