PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_SCORE, ,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%)
144204327,6419962,0,inactive,inactive,,0
144204106,6419978,0,inactive,inactive,,0
144204257,6420010,0,inactive,inactive,,0
144204187,6420013,0,inactive,inactive,,0
144204331,6420020,20,active agonist,active agonist,2.99003,62.5533
144204039,6420022,0,inactive,inactive,,0
144204337,6420033,0,inactive,inactive,,0
144204087,6420038,0,inactive,inactive,,0
144203745,6420039,0,inactive,inactive,,0
144204841,6420041,0,inactive,inactive,,0
144204803,6420042,0,inactive,inactive,,0
144204097,6420071,0,inactive,inactive,,0
144204949,6426773,20,active agonist,active agonist,2.78822,261.414
144212840,6426889,0,inactive,inactive,,0
144210611,6427097,0,inactive,inactive,,0
144212143,6428555,46,active antagonist,active antagonist,48.9662,-74.5202
144207994,6432115,0,inactive,inactive,,0
144203982,6433169,0,inactive,inactive,,0
144204024,6433208,0,inactive,inactive,,0
144205553,6433334,0,inactive,inactive,,0
144204798,6433339,0,inactive,inactive,,0
144206280,6433412,54,active antagonist,active antagonist,16.9301,-113.344
144205530,6433573,0,inactive,inactive,,0
144211454,6433944,0,inactive,inactive,,0
144206898,6434144,0,inactive,inactive,,0
144204827,6434250,0,inactive,inactive,,0
144205369,6434871,0,inactive,inactive,,0
144206948,6435335,0,inactive,inactive,,0
144207135,6435378,0,inactive,inactive,,0
144204740,6435801,0,inactive,inactive,,0
144212263,6435993,20,active agonist,active agonist,57.0904,64.795
144204742,6436135,0,inactive,inactive,,0
144205082,6436173,0,inactive,inactive,,0
144213936,6436730,0,inactive,inactive,,0
144213910,6437875,0,inactive,inactive,,0
144206748,6437877,0,inactive,inactive,,0
144204244,6438130,0,inactive,inactive,,0
144206951,6438394,0,inactive,inactive,,0
144207512,6439929,60,active antagonist,active antagonist,4.88464,-109.269
144213734,6440554,0,inactive,inactive,,0
144207305,6440556,0,inactive,inactive,,0
144206435,6442928,0,inactive,inactive,,0
144209716,6450278,58,active antagonist,active antagonist,9.57879,-121.878
144207146,6450551,0,inactive,inactive,,0
144206128,6451143,0,inactive,inactive,,0
144211570,6451155,0,inactive,inactive,,0
144205686,6474573,0,inactive,inactive,,0
144205607,6505803,86,active antagonist,active antagonist,0.0674001,-114.7
144208142,6537488,0,inactive,inactive,,0
144207302,6537493,0,inactive,inactive,,0
144213412,6537494,0,inactive,inactive,,0
